STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform,Year
3590,LALBAGH TANK,TANK,KARNATAKA,21,34,4,13.5,6.5,8.2,380,701,3,10,0.45,4.79,490,940000,2400,2210000,2017
3594,SANKEY TANK,TANK,KARNATAKA,25,28,5,7.5,6.6,8.2,411,684,3,10,0.5,3,2600,17000,10900,542000,2017
3595,BYRASANDRA TANK,TANK,KARNATAKA,28,36,4.6,9.3,6.7,7.5,430,687,3,15,0.8,16,330,49000,700,348000,2017
3597,HESARAGHATTA TANK,TANK,KARNATAKA,24,28,4.5,7.1,6.9,8,109,1791,3,6,0.2,4.14,3300,27000,27800,172000,2017
3598,HEROHALLI TANK,TANK,KARNATAKA,25,28,2.2,7.3,6.7,8,390,1267,3,4,1,3.99,2200,46000,10900,542000,2017
3599,MADAVARA TANK,TANK,KARNATAKA,25,29,0.7,12.5,6.8,8.7,448,1610,3,150,1,9,230,220000,5420,1720000,2017
3600,SHIVAPURA TANK,TANK,KARNATAKA,25,34,0.4,7,6.7,7.7,1442,4950,5,125,2.02,13,330,490000,1410,2210000,2017
3603,VENGAIHNAKERE,TANK,KARNATAKA,27,33,3.7,6.4,7,7.6,648,1795,4,32,1.2,11.4,17000,46000000,12000,70000000,2017
3604,DODDANAKUNDI TANK,TANK,KARNATAKA,25,29,3.5,5.8,6.5,8.2,648,3340,3,29,0.9,4.15,11000,390000,79000,5420000,2017
3605,YELLAMALLAPPA TANK,TANK,KARNATAKA,26,32,3.9,4.6,6.8,7.6,641,2180,4,18,1.3,12,10900,3900000,13000,34500000,2017
3606,DASARAHALLI TANK,TANK,KARNATAKA,25,29,3.5,14.6,6.7,9,304,1427,3,18,0,2.13,330,170000,790,1090000,2017
3619,BEGUR TANK,TANK,KARNATAKA,25.2,29,4.5,9,6.8,7.7,575,1550,2,45,0.68,2.5,2100,1300000,9400,3480000,2017
3626,NAGAVARA TANK,TANK,KARNATAKA,28,35,4.6,9.5,6.8,7.5,546,1481,3,8,0.2,8.29,790,49000,3480,141000,2017
3629,ALLASANDRA TANK,TANK,KARNATAKA,20,30,3.2,10.4,5.9,9,538,1557,3,30,0.1,11.42,260,490000,22000,3480000,2017
3630,YELAHANKA TANK,TANK,KARNATAKA,28,32,2.4,9.8,5.9,9.7,724,1299,4,23,0.76,7,490,172000,790,542000,2017
3632,VEERAPURA TANK,TANK,KARNATAKA,22,28,5,8,6.6,8,369,1965,3,11,0,2.01,1700,220000,7900,1090000,2017
3634,DEVARAKERE TANK,TANK,KARNATAKA,25.2,34.8,4,9.2,6.6,8,339,778,3,80,0.46,5.24,170,330000,5420,790000,2017
3635,MALATHAHALLI TANK,TANK,KARNATAKA,24.8,33,0.2,7.2,6.9,8.2,1147,2340,3,32,2.2,10.78,49000,7900000,79000,22100000,2017
3637,BYRAMANGALA TANK,TANK,KARNATAKA,23.8,31,0.5,7.4,6.7,8.3,562,1747,3.6,20,0,19.4,17000,1700000,109000,7900000,2017
3638,ANNAYAPPA TANK,TANK,KARNATAKA,23,26,4.1,8.2,7.1,7.6,252,317,3,4,0.59,1.58,26000,330000,172000,1090000,2017
3639,KENGERI TANK,TANK,KARNATAKA,34.7,34.7,0.6,0.6,6.8,6.8,3030,3030,120,120,6,6,40000,40000,278000,278000,2017
3640,UTTARAHALLI  DORAIKERE,TANK,KARNATAKA,23.8,34.7,2.6,9.2,6.5,8.8,286,1318,3,138,0.6,5.7,220,940000,1300,3450000,2017
3641,DHOREKERE,TANK,KARNATAKA,24.6,34.5,2.2,12.6,6.5,9.3,461,886,4,54,1.05,6.3,140,330000,1090,700000,2017
3643,BEENNIGANAHALLI TANK,TANK,KARNATAKA,24,29,3.1,5.1,6.6,7.7,771,3200,3,54,1,7,1100,49000000,7900,109000000,2017
